Year,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden
2010,72000250,114562660,47815700,20978134,8071821,117464090,49189692,18964736,64092004,377079400,826704700,97354140,51992716,41790900,435672030,8554521,13801892,11190507,2619259,182478750,334027520,52889936,84487900,38464356,16465506,282585100,53028584
2011,69891710,105158970,53120460,20614658,7792363,115178136,44236864,18948026,56646000,355126820,804541600,94505224,50156010,38054388,423897120,7808430,13959649,11089509,2608196,169346110,333406080,51783668,92390700,38045108,16364208,283275040,49113770
2012,67260344,102486240,48276560,19050020,7261668,111275540,39861260,17761414,51154000,358100260,814093000,91392590,46720180,38223920,403443520,7519718,14054137,10857971,2749059,165751870,325777700,49931980,89847710,35961410,15765101,277432160,46606916
2013,67758860,102815960,42582988,18401342,6578171,106710090,41763010,19633820,51719000,360013340,831745540,81713256,43486532,37278704,369460540,7368746,13148174,10323408,2429647,164925380,321757150,48146200,78795464,35621708,15136785,252109170,45105884
2014,64158736,97080950,45169064,17649938,6929789,104232570,37571384,18783952,47622000,327808770,792583600,78635700,43638876,36849876,349388960,7172200,12845803,9806854,2417320,157502820,309415360,47942332,79335350,33708172,13568340,253657840,43384748
2015,66357780,101327496,48127124,17793892,6952477,104989704,35110572,15779627,44192000,332131000,800822500,74926664,46566910,38715396,361243700,7262421,13045220,9333977,1697468,163958100,312548860,52233050,78045990,34527856,13658673,270248030,43310144
2016,67218740,99816290,45343750,18079278,7349926,106636424,36916560,17432910,47252000,335496400,797988300,71359610,47039120,40369024,358133150,7210682,13101518,9077205,1375879,164811760,323300480,50310916,76586910,34977550,14468012,259554690,43308376
2017,69601480,99282190,47445844,18713126,7469282,107735540,34664620,18616038,44657000,338368030,784595140,74841750,49423524,39040450,352666240,7215320,13277398,9251006,1537206,162295740,336505100,55165156,79432344,36183944,14637193,273483870,42355424
2018,66566510,100256370,43503330,17694512,7324203,106322056,34608956,17800688,45736000,323101730,758771400,71778090,49366230,38922364,349048350,7843189,13414424,9556162,1547703,158264260,335718620,51340276,79874424,36184068,14563352,268520600,41856004
2019,67951230,99798730,42194980,17820422,7324482,100997496,30950284,12288094,42444000,316320800,708648960,65736330,49158950,37199836,339637950,7633452,13647340,9749969,1649196,152727100,317444060,47583050,76690350,33853190,14053007,250673650,40772480
2020,62179828,91254550,36571028,16870106,6903173,91661460,28299676,9198245,37720000,281515500,647176800,55576930,47105320,35052570,302600100,6999268,13499604,8069083,1600889,136974140,302102430,41738144,73946380,31176160,12872991,211764740,36622220
2021,65751344,94928070,42365030,17402972,6950782,96629410,29603524,10390915,37820000,307271840,677997700,57527910,48326284,37473684,335930430,7218349,13778095,8409505,1611409,139885680,330693730,40299850,77501260,35251324,13076158,228805710,38567984
